device_id,sample_rate_hz,device_group_count_found,device_group_count_processed,group_id,ch1_file,ch3_file,ch5_file,ch1_raw_len,ch3_raw_len,ch5_raw_len,voltage_start_idx,voltage_end_idx,voltage_trim_len,falling_edge_count_all,falling_edges_all,falling_edges_used,temp_peak_count_all,temp_peaks_used_global,temp_peak_idx_global,temp_peak_idx_in_segment,temp_start_idx,temp_end_idx,aligned_len
12,10.0,31,30,1,20251115_PC_1_12_ch1.mat,20251115_PC_1_12_ch3.mat,20251115_PC_1_12_ch5.mat,4048,4048,4048,16,4034,4018,10,"[171, 573, 975, 1377, 1779, 2181, 2583, 2985, 3387, 3789]","[171, 573, 975, 1377, 1779, 2181, 2583, 2985, 3387, 3789]",301,"[1397, 1799, 2204, 2602, 3007, 3412, 3812, 4209, 4614, 5019]",1397,155,1242,5260,4018
12,10.0,31,30,2,20251115_PC_2_12_ch1.mat,20251115_PC_2_12_ch3.mat,20251115_PC_2_12_ch5.mat,4048,4048,4048,18,4036,4018,10,"[173, 575, 977, 1379, 1781, 2183, 2585, 2987, 3389, 3791]","[173, 575, 977, 1379, 1781, 2183, 2585, 2987, 3389, 3791]",291,"[5584, 5984, 6389, 6789, 7189, 7594, 7994, 8399, 8799, 9201]",5584,155,5429,9447,4018
12,10.0,31,30,3,20251115_PC_3_12_ch1.mat,20251115_PC_3_12_ch3.mat,20251115_PC_3_12_ch5.mat,4048,4048,4048,17,4035,4018,10,"[172, 574, 976, 1378, 1780, 2182, 2584, 2986, 3388, 3790]","[172, 574, 976, 1378, 1780, 2182, 2584, 2986, 3388, 3790]",281,"[9764, 10164, 10569, 10969, 11374, 11776, 12176, 12576, 12981, 13381]",9764,155,9609,13627,4018
12,10.0,31,30,4,20251115_PC_4_12_ch1.mat,20251115_PC_4_12_ch3.mat,20251115_PC_4_12_ch5.mat,4048,4048,4048,18,4036,4018,10,"[173, 575, 977, 1379, 1781, 2183, 2585, 2987, 3389, 3791]","[173, 575, 977, 1379, 1781, 2183, 2585, 2987, 3389, 3791]",271,"[13946, 14351, 14751, 15151, 15556, 15956, 16356, 16761, 17161, 17566]",13946,155,13791,17809,4018
12,10.0,31,30,5,20251115_PC_5_12_ch1.mat,20251115_PC_5_12_ch3.mat,20251115_PC_5_12_ch5.mat,4048,4048,4048,17,4035,4018,10,"[172, 574, 976, 1378, 1780, 2182, 2584, 2986, 3388, 3790]","[172, 574, 976, 1378, 1780, 2182, 2584, 2986, 3388, 3790]",261,"[18131, 18531, 18931, 19336, 19738, 20136, 20543, 20943, 21343, 21743]",18131,155,17976,21994,4018
12,10.0,31,30,6,20251115_PC_6_12_ch1.mat,20251115_PC_6_12_ch3.mat,20251115_PC_6_12_ch5.mat,4048,4048,4048,17,4035,4018,10,"[172, 574, 976, 1378, 1780, 2182, 2584, 2986, 3388, 3790]","[172, 574, 976, 1378, 1780, 2182, 2584, 2986, 3388, 3790]",251,"[22308, 22713, 23113, 23516, 23918, 24318, 24718, 25123, 25528, 25928]",22308,155,22153,26171,4018
12,10.0,31,30,7,20251115_PC_7_12_ch1.mat,20251115_PC_7_12_ch3.mat,20251115_PC_7_12_ch5.mat,4048,4048,4048,18,4036,4018,10,"[173, 575, 977, 1379, 1781, 2183, 2585, 2987, 3389, 3791]","[173, 575, 977, 1379, 1781, 2183, 2585, 2987, 3389, 3791]",241,"[26493, 26893, 27293, 27698, 28100, 28500, 28905, 29305, 29705, 30110]",26493,155,26338,30356,4018
12,10.0,31,30,8,20251115_PC_8_12_ch1.mat,20251115_PC_8_12_ch3.mat,20251115_PC_8_12_ch5.mat,4048,4048,4048,17,4035,4018,10,"[172, 574, 976, 1378, 1780, 2182, 2584, 2986, 3388, 3790]","[172, 574, 976, 1378, 1780, 2182, 2584, 2986, 3388, 3790]",231,"[30673, 31075, 31475, 31875, 32280, 32685, 33085, 33485, 33890, 34290]",30673,155,30518,34536,4018
12,10.0,31,30,9,20251115_PC_9_12_ch1.mat,20251115_PC_9_12_ch3.mat,20251115_PC_9_12_ch5.mat,4048,4048,4048,18,4036,4018,10,"[173, 575, 977, 1379, 1781, 2183, 2585, 2987, 3389, 3791]","[173, 575, 977, 1379, 1781, 2183, 2585, 2987, 3389, 3791]",221,"[34855, 35255, 35655, 36057, 36462, 36862, 37267, 37667, 38070, 38472]",34855,155,34700,38718,4018
12,10.0,31,30,10,20251115_PC_10_12_ch1.mat,20251115_PC_10_12_ch3.mat,20251115_PC_10_12_ch5.mat,4048,4048,4048,18,4036,4018,10,"[173, 575, 977, 1379, 1781, 2183, 2585, 2987, 3389, 3791]","[173, 575, 977, 1379, 1781, 2183, 2585, 2987, 3389, 3791]",211,"[39035, 39437, 39837, 40242, 40642, 41047, 41447, 41847, 42252, 42652]",39035,155,38880,42898,4018
12,10.0,31,30,11,20251116_PC_11_12_ch1.mat,20251116_PC_11_12_ch3.mat,20251116_PC_11_12_ch5.mat,4048,4048,4048,15,4033,4018,10,"[170, 572, 974, 1376, 1778, 2180, 2582, 2984, 3386, 3788]","[170, 572, 974, 1376, 1778, 2180, 2582, 2984, 3386, 3788]",201,"[43191, 43591, 43991, 44393, 44796, 45196, 45596, 46001, 46406, 46808]",43191,155,43036,47054,4018
