time,temperature,ch1,ch3,ch5
1.057379999999999927e+04,4.641723632812500000e+01,2.812499999999973355e-02,1.524000000000000021e+01,-3.664062500000042633e-02
1.057389999999999964e+04,4.638061523437500000e+01,5.312500000000008882e-02,1.520999999999999908e+01,-7.546875000000063949e-02
1.057400000000000000e+04,4.639892578125000000e+01,4.062499999999991118e-02,1.524000000000000021e+01,-5.523437500000039080e-02
1.057410000000000036e+04,4.654541015625000000e+01,2.910000000000000142e+00,1.551999999999999957e+01,1.582054687500000156e+01
1.057420000000000073e+04,4.623413085937500000e+01,2.830000000000000071e+00,1.522000000000000064e+01,1.546890625000000163e+01
1.057429999999999927e+04,4.652709960937500000e+01,2.857499999999999929e+00,1.533000000000000007e+01,1.548531250000000092e+01
1.057439999999999964e+04,4.771728515625000000e+01,2.857499999999999929e+00,1.552999999999999936e+01,1.547820312500000028e+01
1.057450000000000000e+04,4.790039062500000000e+01,2.870000000000000107e+00,1.524000000000000021e+01,1.545632812500000064e+01
1.057460000000000036e+04,4.790039062500000000e+01,2.887500000000000178e+00,1.549000000000000021e+01,1.547000000000000064e+01
1.057470000000000073e+04,4.760742187500000000e+01,2.915000000000000036e+00,1.527999999999999936e+01,1.546562500000000107e+01
1.057479999999999927e+04,4.978637695312500000e+01,2.932500000000000107e+00,1.517999999999999972e+01,1.549625000000000163e+01
1.057489999999999964e+04,5.072021484375000000e+01,2.899999999999999911e+00,1.525000000000000000e+01,1.549789062500000014e+01
1.057500000000000000e+04,5.066528320312500000e+01,2.915000000000000036e+00,1.531000000000000050e+01,1.548312500000000114e+01
1.057510000000000036e+04,5.090332031250000000e+01,2.932500000000000107e+00,1.540000000000000036e+01,1.546671875000000007e+01
1.057520000000000073e+04,5.055541992187500000e+01,2.977500000000000036e+00,1.549000000000000021e+01,1.551320312500000043e+01
1.057529999999999927e+04,5.465698242187500000e+01,2.987499999999999822e+00,1.531000000000000050e+01,1.547437500000000021e+01
1.057539999999999964e+04,5.465698242187500000e+01,2.987499999999999822e+00,1.526999999999999957e+01,1.547546875000000099e+01
1.057550000000000000e+04,5.463867187500000000e+01,2.987499999999999822e+00,1.535999999999999943e+01,1.548093750000000135e+01
1.057560000000000036e+04,5.480346679687500000e+01,3.009999999999999787e+00,1.549000000000000021e+01,1.550171875000000021e+01
1.057570000000000073e+04,5.828247070312500000e+01,3.052500000000000213e+00,1.533000000000000007e+01,1.547218750000000043e+01
1.057579999999999927e+04,5.954589843750000000e+01,3.049999999999999822e+00,1.533999999999999986e+01,1.546398437500000078e+01
1.057589999999999964e+04,5.945434570312500000e+01,3.002499999999999947e+00,1.524000000000000021e+01,1.541914062500000071e+01
1.057600000000000000e+04,5.947265625000000000e+01,3.020000000000000018e+00,1.502999999999999936e+01,1.538851562500000014e+01
1.057610000000000036e+04,6.099243164062500000e+01,3.032500000000000195e+00,1.522000000000000064e+01,1.549515625000000085e+01
1.057620000000000073e+04,6.317138671875000000e+01,3.049999999999999822e+00,1.539000000000000057e+01,1.548367187500000064e+01
1.057629999999999927e+04,6.373901367187500000e+01,3.080000000000000071e+00,1.537999999999999901e+01,1.543828125000000107e+01
1.057639999999999964e+04,6.351928710937500000e+01,3.069999999999999840e+00,1.536999999999999922e+01,1.550773437500000007e+01
1.057650000000000000e+04,6.359252929687500000e+01,3.137500000000000178e+00,1.532000000000000028e+01,1.552414062500000114e+01
1.057660000000000036e+04,6.668701171875000000e+01,3.107499999999999929e+00,1.515000000000000036e+01,1.543390625000000149e+01
1.057670000000000073e+04,6.661376953125000000e+01,3.112499999999999822e+00,1.529999999999999893e+01,1.544593750000000121e+01
1.057679999999999927e+04,6.710815429687500000e+01,3.122500000000000053e+00,1.531000000000000050e+01,1.545250000000000057e+01
1.057689999999999964e+04,6.685180664062500000e+01,3.092499999999999805e+00,1.529999999999999893e+01,1.547054687500000014e+01
1.057700000000000000e+04,6.860961914062500000e+01,3.092499999999999805e+00,1.531000000000000050e+01,1.551374999999999993e+01
1.057710000000000036e+04,6.998291015625000000e+01,3.154999999999999805e+00,1.544999999999999929e+01,1.544976562500000128e+01
1.057720000000000073e+04,6.959838867187500000e+01,3.154999999999999805e+00,1.541000000000000014e+01,1.549406250000000007e+01
1.057729999999999927e+04,7.011108398437500000e+01,3.140000000000000124e+00,1.545999999999999908e+01,1.546289062500000000e+01
1.057739999999999964e+04,6.981811523437500000e+01,3.169999999999999929e+00,1.519999999999999929e+01,1.544976562500000128e+01
1.057750000000000000e+04,7.245483398437500000e+01,3.152499999999999858e+00,1.531000000000000050e+01,1.549515625000000085e+01
1.057760000000000036e+04,7.276611328125000000e+01,3.187500000000000000e+00,1.520999999999999908e+01,1.543718750000000028e+01
1.057770000000000073e+04,7.229003906250000000e+01,3.189999999999999947e+00,1.542999999999999972e+01,1.548039062500000007e+01
1.057779999999999927e+04,7.278442382812500000e+01,3.174999999999999822e+00,1.517999999999999972e+01,1.544320312500000014e+01
1.057789999999999964e+04,7.443237304687500000e+01,3.197499999999999787e+00,1.514000000000000057e+01,1.543445312500000099e+01
1.057800000000000000e+04,7.507324218750000000e+01,3.212499999999999911e+00,1.534999999999999964e+01,1.547109375000000142e+01
1.057810000000000036e+04,7.523803710937500000e+01,3.212499999999999911e+00,1.533000000000000007e+01,1.546398437500000078e+01
1.057820000000000073e+04,7.479858398437500000e+01,3.217499999999999805e+00,1.556000000000000050e+01,1.543664062500000078e+01
1.057829999999999927e+04,7.589721679687500000e+01,3.222500000000000142e+00,1.542999999999999972e+01,1.543609375000000128e+01
1.057839999999999964e+04,7.734375000000000000e+01,3.257499999999999840e+00,1.531000000000000050e+01,1.552523437500000014e+01
1.057850000000000000e+04,7.756347656250000000e+01,3.242500000000000160e+00,1.561999999999999922e+01,1.545632812500000064e+01
1.057860000000000036e+04,7.763671875000000000e+01,3.294999999999999929e+00,1.526999999999999957e+01,1.546070312500000021e+01
1.057870000000000073e+04,7.716064453125000000e+01,3.242500000000000160e+00,1.533999999999999986e+01,1.545085937500000028e+01
1.057879999999999927e+04,7.966918945312500000e+01,3.297499999999999876e+00,1.533999999999999986e+01,1.554601562500000078e+01
1.057889999999999964e+04,7.961425781250000000e+01,3.282500000000000195e+00,1.537999999999999901e+01,1.546125000000000149e+01
1.057900000000000000e+04,7.974243164062500000e+01,3.267500000000000071e+00,1.552999999999999936e+01,1.549296875000000107e+01
1.057910000000000036e+04,7.988891601562500000e+01,3.297499999999999876e+00,1.531000000000000050e+01,1.548804687500000021e+01
1.057920000000000073e+04,8.058471679687500000e+01,3.294999999999999929e+00,1.552999999999999936e+01,1.547656250000000000e+01
1.057929999999999927e+04,8.186645507812500000e+01,3.299999999999999822e+00,1.520999999999999908e+01,1.550937500000000036e+01
1.057939999999999964e+04,8.159179687500000000e+01,3.310000000000000053e+00,1.533999999999999986e+01,1.544101562500000036e+01
1.057950000000000000e+04,8.171997070312500000e+01,3.299999999999999822e+00,1.543999999999999950e+01,1.543718750000000028e+01
1.057960000000000036e+04,8.186645507812500000e+01,3.350000000000000089e+00,1.534999999999999964e+01,1.544375000000000142e+01
1.057970000000000073e+04,8.342285156250000000e+01,3.327500000000000124e+00,1.517750000000000021e+01,1.545632812500000064e+01
1.057979999999999927e+04,8.399047851562500000e+01,3.354999999999999982e+00,1.550999999999999979e+01,1.542351562500000028e+01
1.057989999999999964e+04,8.367919921875000000e+01,3.339999999999999858e+00,1.549000000000000021e+01,1.546945312500000114e+01
1.058000000000000000e+04,8.380737304687500000e+01,3.314999999999999947e+00,1.522000000000000064e+01,1.551101562500000064e+01
1.058010000000000036e+04,8.541870117187500000e+01,3.359999999999999876e+00,1.550000000000000000e+01,1.550882812500000085e+01
1.058020000000000073e+04,8.538208007812500000e+01,3.354999999999999982e+00,1.540000000000000036e+01,1.554164062500000121e+01
1.058029999999999927e+04,8.589477539062500000e+01,3.419999999999999929e+00,1.541000000000000014e+01,1.548093750000000135e+01
1.058039999999999964e+04,8.558349609375000000e+01,3.407500000000000195e+00,1.520999999999999908e+01,1.548148437500000085e+01
1.058050000000000000e+04,8.611450195312500000e+01,3.359999999999999876e+00,1.533999999999999986e+01,1.545140625000000156e+01
1.058060000000000036e+04,8.772583007812500000e+01,3.419999999999999929e+00,1.551999999999999957e+01,1.547328125000000121e+01
1.058070000000000073e+04,8.728637695312500000e+01,3.410000000000000142e+00,1.557000000000000028e+01,1.549132812500000078e+01
1.058079999999999927e+04,8.785400390625000000e+01,3.402499999999999858e+00,1.525999999999999979e+01,1.548804687500000021e+01
1.058089999999999964e+04,8.748779296875000000e+01,3.370000000000000107e+00,1.535999999999999943e+01,1.547984375000000057e+01
1.058100000000000000e+04,8.930053710937500000e+01,3.419999999999999929e+00,1.536999999999999922e+01,1.546398437500000078e+01
1.058110000000000036e+04,8.964843750000000000e+01,3.435000000000000053e+00,1.539000000000000057e+01,1.548476562500000142e+01
1.058120000000000073e+04,8.919067382812500000e+01,3.467500000000000249e+00,1.535999999999999943e+01,1.545031250000000078e+01
1.058129999999999927e+04,8.973999023437500000e+01,3.407500000000000195e+00,1.542999999999999972e+01,1.546562500000000107e+01
1.058139999999999964e+04,9.030761718750000000e+01,3.417499999999999982e+00,1.508000000000000007e+01,1.543335937500000021e+01
1.058150000000000000e+04,9.131469726562500000e+01,3.459999999999999964e+00,1.532000000000000028e+01,1.546289062500000000e+01
1.058160000000000036e+04,9.149780273437500000e+01,3.482499999999999929e+00,1.525000000000000000e+01,1.545687500000000014e+01
1.058170000000000073e+04,9.100341796875000000e+01,3.452500000000000124e+00,1.500000000000000000e+01,1.550554687500000028e+01
1.058179999999999927e+04,9.157104492187500000e+01,3.490000000000000213e+00,1.526999999999999957e+01,1.547546875000000099e+01
1.058189999999999964e+04,9.281616210937500000e+01,3.522499999999999964e+00,1.543999999999999950e+01,1.542789062500000163e+01
1.058200000000000000e+04,9.316406250000000000e+01,3.500000000000000000e+00,1.532000000000000028e+01,1.547656250000000000e+01
1.058210000000000036e+04,9.327392578125000000e+01,3.537500000000000089e+00,1.550000000000000000e+01,1.541203125000000007e+01
1.058220000000000073e+04,9.279785156250000000e+01,3.540000000000000036e+00,1.553999999999999915e+01,1.546289062500000000e+01
1.058229999999999927e+04,9.472045898437500000e+01,3.520000000000000018e+00,1.529999999999999893e+01,1.546945312500000114e+01
1.058239999999999964e+04,9.462890625000000000e+01,3.515000000000000124e+00,1.528999999999999915e+01,1.544046875000000085e+01
1.058250000000000000e+04,9.483032226562500000e+01,3.522499999999999964e+00,1.529999999999999893e+01,1.544703125000000021e+01
1.058260000000000036e+04,9.501342773437500000e+01,3.537500000000000089e+00,1.526999999999999957e+01,1.548367187500000064e+01
1.058270000000000073e+04,9.505004882812500000e+01,3.547499999999999876e+00,1.523000000000000043e+01,1.549734375000000064e+01
1.058279999999999927e+04,9.682617187500000000e+01,3.575000000000000178e+00,1.519999999999999929e+01,1.549789062500000014e+01
1.058289999999999964e+04,9.644165039062500000e+01,3.582500000000000018e+00,1.537999999999999901e+01,1.547765625000000078e+01
1.058300000000000000e+04,9.667968750000000000e+01,3.584999999999999964e+00,1.524000000000000021e+01,1.547054687500000014e+01
1.058310000000000036e+04,9.682617187500000000e+01,3.562500000000000000e+00,1.537999999999999901e+01,1.547273437499999993e+01
1.058320000000000073e+04,9.783325195312500000e+01,3.602500000000000036e+00,1.550000000000000000e+01,1.545304687500000007e+01
1.058329999999999927e+04,9.854736328125000000e+01,3.620000000000000107e+00,1.528999999999999915e+01,1.551374999999999993e+01
1.058339999999999964e+04,9.808959960937500000e+01,3.632500000000000284e+00,1.523000000000000043e+01,1.549078125000000128e+01
1.058350000000000000e+04,9.840087890625000000e+01,3.662500000000000089e+00,1.534999999999999964e+01,1.546890625000000163e+01
1.058360000000000036e+04,9.951782226562500000e+01,3.652499999999999858e+00,1.524000000000000021e+01,1.549242187500000156e+01
1.058370000000000073e+04,9.970092773437500000e+01,3.660000000000000142e+00,1.516000000000000014e+01,1.547109375000000142e+01
1.058379999999999927e+04,1.002868652343750000e+02,3.632500000000000284e+00,1.522000000000000064e+01,1.549351562500000057e+01
1.058389999999999964e+04,9.979248046875000000e+01,3.649999999999999911e+00,1.536999999999999922e+01,1.549734375000000064e+01
1.058400000000000000e+04,1.000854492187500000e+02,3.702500000000000124e+00,1.517999999999999972e+01,1.547820312500000028e+01
1.058410000000000036e+04,1.018798828125000000e+02,3.674999999999999822e+00,1.525999999999999979e+01,1.549570312500000036e+01
1.058420000000000073e+04,1.015136718750000000e+02,3.655000000000000249e+00,1.536999999999999922e+01,1.547437500000000021e+01
1.058429999999999927e+04,1.020996093750000000e+02,3.672499999999999876e+00,1.528999999999999915e+01,1.543664062500000078e+01
1.058439999999999964e+04,1.016052246093750000e+02,3.689999999999999947e+00,1.547000000000000064e+01,1.550554687500000028e+01
1.058450000000000000e+04,1.032531738281250000e+02,3.745000000000000107e+00,1.524000000000000021e+01,1.546617187500000057e+01
1.058460000000000036e+04,1.036560058593750000e+02,3.747500000000000053e+00,1.525000000000000000e+01,1.552906250000000021e+01
1.058470000000000073e+04,1.032165527343750000e+02,3.734999999999999876e+00,1.562999999999999901e+01,1.547164062500000092e+01
1.058479999999999927e+04,1.037841796875000000e+02,3.762500000000000178e+00,1.517999999999999972e+01,1.544484375000000043e+01
1.058489999999999964e+04,1.037841796875000000e+02,3.752499999999999947e+00,1.536999999999999922e+01,1.546015625000000071e+01
1.058500000000000000e+04,1.052307128906250000e+02,3.770000000000000018e+00,1.522000000000000064e+01,1.549843750000000142e+01
1.058510000000000036e+04,1.053771972656250000e+02,3.805000000000000160e+00,1.544999999999999929e+01,1.545414062500000085e+01
1.058520000000000073e+04,1.048828125000000000e+02,3.850000000000000089e+00,1.537999999999999901e+01,1.540765625000000050e+01
1.058529999999999927e+04,1.054870605468750000e+02,3.825000000000000178e+00,1.551999999999999957e+01,1.544320312500000014e+01
1.058539999999999964e+04,1.065307617187500000e+02,3.825000000000000178e+00,1.553999999999999915e+01,1.550882812500000085e+01
1.058550000000000000e+04,1.070068359375000000e+02,3.825000000000000178e+00,1.532000000000000028e+01,1.551046875000000114e+01
1.058560000000000036e+04,1.070983886718750000e+02,3.812500000000000000e+00,1.543999999999999950e+01,1.551484375000000071e+01
1.058570000000000073e+04,1.065856933593750000e+02,3.842500000000000249e+00,1.535999999999999943e+01,1.550718750000000057e+01
1.058579999999999927e+04,1.083618164062500000e+02,3.852500000000000036e+00,1.539000000000000057e+01,1.548148437500000085e+01
1.058589999999999964e+04,1.083801269531250000e+02,3.842500000000000249e+00,1.537999999999999901e+01,1.541750000000000043e+01
1.058600000000000000e+04,1.087829589843750000e+02,3.865000000000000213e+00,1.537999999999999901e+01,1.548093750000000135e+01
1.058610000000000036e+04,1.088195800781250000e+02,3.907499999999999751e+00,1.516999999999999993e+01,1.554492187500000000e+01
1.058620000000000073e+04,1.084167480468750000e+02,3.907499999999999751e+00,1.533999999999999986e+01,1.543937500000000007e+01
1.058629999999999927e+04,1.106506347656250000e+02,3.922499999999999876e+00,1.527999999999999936e+01,1.550117187500000071e+01
1.058639999999999964e+04,1.101745605468750000e+02,3.952500000000000124e+00,1.529999999999999893e+01,1.547000000000000064e+01
1.058650000000000000e+04,1.105590820312500000e+02,3.962499999999999911e+00,1.522000000000000064e+01,1.544703125000000021e+01
1.058660000000000036e+04,1.105957031250000000e+02,4.000000000000000000e+00,1.528999999999999915e+01,1.545195312500000107e+01
1.058670000000000073e+04,1.115661621093750000e+02,3.962499999999999911e+00,1.545999999999999908e+01,1.544757812500000149e+01
1.058679999999999927e+04,1.124084472656250000e+02,3.977500000000000036e+00,1.564000000000000057e+01,1.544976562500000128e+01
1.058689999999999964e+04,1.118591308593750000e+02,4.022499999999999964e+00,1.542999999999999972e+01,1.548039062500000007e+01
1.058700000000000000e+04,1.122619628906250000e+02,4.057500000000000107e+00,1.526999999999999957e+01,1.542406250000000156e+01
1.058710000000000036e+04,1.131774902343750000e+02,4.064999999999999503e+00,1.543999999999999950e+01,1.548312500000000114e+01
1.058720000000000073e+04,1.135986328125000000e+02,4.077500000000000568e+00,1.540000000000000036e+01,1.549570312500000036e+01
1.058729999999999927e+04,1.142028808593750000e+02,4.102500000000000036e+00,1.519999999999999929e+01,1.546890625000000163e+01
1.058739999999999964e+04,1.136535644531250000e+02,4.125000000000000000e+00,1.550999999999999979e+01,1.544648437500000071e+01
1.058750000000000000e+04,1.140563964843750000e+02,4.134999999999999787e+00,1.535999999999999943e+01,1.545796875000000092e+01
1.058760000000000036e+04,1.159240722656250000e+02,4.144999999999999574e+00,1.541999999999999993e+01,1.544921875000000000e+01
1.058770000000000073e+04,1.155212402343750000e+02,4.157499999999999751e+00,1.524000000000000021e+01,1.549351562500000057e+01
1.058779999999999927e+04,1.161437988281250000e+02,4.137500000000000178e+00,1.525999999999999979e+01,1.545687500000000014e+01
1.058789999999999964e+04,1.155944824218750000e+02,4.177500000000000213e+00,1.550999999999999979e+01,1.545578125000000114e+01
1.058800000000000000e+04,1.172790527343750000e+02,4.217500000000000249e+00,1.541000000000000014e+01,1.550390625000000000e+01
1.058810000000000036e+04,1.178833007812500000e+02,4.094999999999999751e+00,1.506000000000000050e+01,1.542953125000000014e+01
1.058820000000000073e+04,1.174255371093750000e+02,4.240000000000000213e+00,1.542999999999999972e+01,1.542789062500000163e+01
1.058829999999999927e+04,1.180480957031250000e+02,4.266874999999999751e+00,1.519999999999999929e+01,1.544921875000000000e+01
1.058839999999999964e+04,1.177001953125000000e+02,4.301249999999999574e+00,1.537999999999999901e+01,1.548367187500000064e+01
1.058850000000000000e+04,1.197692871093750000e+02,4.325000000000000178e+00,1.532000000000000028e+01,1.543554687500000000e+01
1.058860000000000036e+04,1.199157714843750000e+02,4.334374999999999645e+00,1.541000000000000014e+01,1.545140625000000156e+01
1.058870000000000073e+04,1.194763183593750000e+02,4.330000000000000071e+00,1.537999999999999901e+01,1.544265625000000064e+01
1.058879999999999927e+04,1.200622558593750000e+02,4.372500000000000497e+00,1.545999999999999908e+01,1.547601562500000050e+01
