group_id,voltage_file,voltage_raw_len,voltage_start_idx,voltage_end_idx,voltage_trim_len,falling_edge_count_all,falling_edges_all,falling_edges_used,temp_peak_count_all,temp_peaks_used_global,temp_peak_idx_global,temp_peak_idx_in_segment,temp_start_idx,temp_end_idx,aligned_len
1,20251115_PC_1_12_ch1.mat,4048,16,4034,4018,10,"[171, 573, 975, 1377, 1779, 2181, 2583, 2985, 3387, 3789]","[171, 573, 975, 1377, 1779, 2181, 2583, 2985, 3387, 3789]",100,"[164, 566, 971, 1369, 1774, 2179, 2579, 2976, 3381, 3786]",164,155,9,4027,4018
2,20251115_PC_2_12_ch1.mat,4048,18,4036,4018,10,"[173, 575, 977, 1379, 1781, 2183, 2585, 2987, 3389, 3791]","[173, 575, 977, 1379, 1781, 2183, 2585, 2987, 3389, 3791]",91,"[4351, 4751, 5156, 5556, 5956, 6361, 6761, 7166, 7566, 7968]",4351,155,4196,8214,4018
3,20251115_PC_3_12_ch1.mat,4048,17,4035,4018,10,"[172, 574, 976, 1378, 1780, 2182, 2584, 2986, 3388, 3790]","[172, 574, 976, 1378, 1780, 2182, 2584, 2986, 3388, 3790]",81,"[8531, 8931, 9336, 9736, 10141, 10543, 10943, 11343, 11748, 12148]",8531,155,8376,12394,4018
4,20251115_PC_4_12_ch1.mat,4048,18,4036,4018,10,"[173, 575, 977, 1379, 1781, 2183, 2585, 2987, 3389, 3791]","[173, 575, 977, 1379, 1781, 2183, 2585, 2987, 3389, 3791]",71,"[12713, 13118, 13518, 13918, 14323, 14723, 15123, 15528, 15928, 16333]",12713,155,12558,16576,4018
5,20251115_PC_5_12_ch1.mat,4048,17,4035,4018,10,"[172, 574, 976, 1378, 1780, 2182, 2584, 2986, 3388, 3790]","[172, 574, 976, 1378, 1780, 2182, 2584, 2986, 3388, 3790]",61,"[16898, 17298, 17698, 18103, 18503, 18903, 19310, 19710, 20110, 20510]",16898,155,16743,20761,4018
6,20251115_PC_6_12_ch1.mat,4048,17,4035,4018,10,"[172, 574, 976, 1378, 1780, 2182, 2584, 2986, 3388, 3790]","[172, 574, 976, 1378, 1780, 2182, 2584, 2986, 3388, 3790]",51,"[21075, 21480, 21880, 22283, 22685, 23085, 23485, 23890, 24295, 24695]",21075,155,20920,24938,4018
7,20251115_PC_7_12_ch1.mat,4048,18,4036,4018,10,"[173, 575, 977, 1379, 1781, 2183, 2585, 2987, 3389, 3791]","[173, 575, 977, 1379, 1781, 2183, 2585, 2987, 3389, 3791]",41,"[25260, 25660, 26060, 26465, 26867, 27267, 27672, 28072, 28472, 28877]",25260,155,25105,29123,4018
8,20251115_PC_8_12_ch1.mat,4048,17,4035,4018,10,"[172, 574, 976, 1378, 1780, 2182, 2584, 2986, 3388, 3790]","[172, 574, 976, 1378, 1780, 2182, 2584, 2986, 3388, 3790]",31,"[29440, 29842, 30242, 30642, 31047, 31452, 31852, 32252, 32657, 33057]",29440,155,29285,33303,4018
9,20251115_PC_9_12_ch1.mat,4048,18,4036,4018,10,"[173, 575, 977, 1379, 1781, 2183, 2585, 2987, 3389, 3791]","[173, 575, 977, 1379, 1781, 2183, 2585, 2987, 3389, 3791]",21,"[33622, 34022, 34422, 34824, 35229, 35629, 36034, 36434, 36837, 37239]",33622,155,33467,37485,4018
10,20251115_PC_10_12_ch1.mat,4048,18,4036,4018,10,"[173, 575, 977, 1379, 1781, 2183, 2585, 2987, 3389, 3791]","[173, 575, 977, 1379, 1781, 2183, 2585, 2987, 3389, 3791]",11,"[37802, 38204, 38604, 39009, 39409, 39814, 40214, 40614, 41019, 41419]",37802,155,37647,41665,4018
