time,temperature,voltage
4.196000000000000227e+02,4.705810546875000000e+01,5.812499999999998224e-02
4.196999999999999886e+02,4.733276367187500000e+01,5.312500000000008882e-02
4.198000000000000114e+02,4.720458984375000000e+01,6.812499999999976907e-02
4.198999999999999773e+02,4.738769531250000000e+01,2.822499999999999787e+00
4.200000000000000000e+02,4.709472656250000000e+01,2.787500000000000089e+00
4.201000000000000227e+02,4.898071289062500000e+01,2.765000000000000124e+00
4.201999999999999886e+02,4.923706054687500000e+01,2.812500000000000000e+00
4.203000000000000114e+02,4.905395507812500000e+01,2.802500000000000213e+00
4.203999999999999773e+02,4.929199218750000000e+01,2.842499999999999805e+00
4.205000000000000000e+02,5.044555664062500000e+01,2.842499999999999805e+00
4.206000000000000227e+02,5.242309570312500000e+01,2.842499999999999805e+00
4.206999999999999886e+02,5.245971679687500000e+01,2.852500000000000036e+00
4.208000000000000114e+02,5.229492187500000000e+01,2.884999999999999787e+00
4.208999999999999773e+02,5.251464843750000000e+01,2.910000000000000142e+00
4.210000000000000000e+02,5.590209960937500000e+01,2.892500000000000071e+00
4.211000000000000227e+02,5.659790039062500000e+01,2.919999999999999929e+00
4.211999999999999886e+02,5.656127929687500000e+01,2.902499999999999858e+00
4.213000000000000114e+02,5.639648437500000000e+01,2.950000000000000178e+00
4.213999999999999773e+02,5.980224609375000000e+01,2.967499999999999805e+00
4.215000000000000000e+02,6.084594726562500000e+01,2.947499999999999787e+00
4.216000000000000227e+02,6.128540039062500000e+01,2.955000000000000071e+00
4.216999999999999886e+02,6.123046875000000000e+01,2.952500000000000124e+00
4.218000000000000114e+02,6.128540039062500000e+01,2.947499999999999787e+00
4.218999999999999773e+02,6.498413085937500000e+01,2.987499999999999822e+00
4.220000000000000000e+02,6.469116210937500000e+01,2.982499999999999929e+00
4.221000000000000227e+02,6.511230468750000000e+01,2.995000000000000107e+00
4.221999999999999886e+02,6.503906250000000000e+01,2.982499999999999929e+00
4.223000000000000114e+02,6.760253906250000000e+01,3.004999999999999893e+00
4.223999999999999773e+02,6.833496093750000000e+01,3.007499999999999840e+00
4.225000000000000000e+02,6.787719726562500000e+01,3.022499999999999964e+00
4.226000000000000227e+02,6.833496093750000000e+01,3.027499999999999858e+00
4.226999999999999886e+02,6.937866210937500000e+01,3.020000000000000018e+00
4.228000000000000114e+02,7.098999023437500000e+01,3.047499999999999876e+00
4.228999999999999773e+02,7.128295898437500000e+01,3.072499999999999787e+00
4.230000000000000000e+02,7.077026367187500000e+01,3.060000000000000053e+00
4.231000000000000227e+02,7.124633789062500000e+01,3.044999999999999929e+00
4.231999999999999886e+02,7.359008789062500000e+01,3.082500000000000018e+00
4.233000000000000114e+02,7.377319335937500000e+01,3.084999999999999964e+00
4.233999999999999773e+02,7.399291992187500000e+01,3.087499999999999911e+00
4.235000000000000000e+02,7.348022460937500000e+01,3.107499999999999929e+00
4.236000000000000227e+02,7.558593750000000000e+01,3.104999999999999982e+00
4.236999999999999886e+02,7.619018554687500000e+01,3.104999999999999982e+00
4.238000000000000114e+02,7.611694335937500000e+01,3.132499999999999840e+00
4.238999999999999773e+02,7.640991210937500000e+01,3.122500000000000053e+00
4.240000000000000000e+02,7.597045898437500000e+01,3.100000000000000089e+00
4.241000000000000227e+02,7.857055664062500000e+01,3.149999999999999911e+00
4.241999999999999886e+02,7.847900390625000000e+01,3.145000000000000018e+00
4.243000000000000114e+02,7.849731445312500000e+01,3.167499999999999982e+00
4.243999999999999773e+02,7.866210937500000000e+01,3.120000000000000107e+00
4.245000000000000000e+02,8.005371093750000000e+01,3.149999999999999911e+00
4.246000000000000227e+02,8.089599609375000000e+01,3.152499999999999858e+00
4.246999999999999886e+02,8.069458007812500000e+01,3.174999999999999822e+00
4.248000000000000114e+02,8.067626953125000000e+01,3.169999999999999929e+00
4.248999999999999773e+02,8.161010742187500000e+01,3.200000000000000178e+00
4.250000000000000000e+02,8.237915039062500000e+01,3.182500000000000107e+00
4.251000000000000227e+02,8.291015625000000000e+01,3.212499999999999911e+00
4.251999999999999886e+02,8.270874023437500000e+01,3.200000000000000178e+00
4.253000000000000114e+02,8.265380859375000000e+01,3.202500000000000124e+00
4.253999999999999773e+02,8.470458984375000000e+01,3.247500000000000053e+00
4.255000000000000000e+02,8.435668945312500000e+01,3.222500000000000142e+00
4.256000000000000227e+02,8.488769531250000000e+01,3.245000000000000107e+00
4.256999999999999886e+02,8.468627929687500000e+01,3.222500000000000142e+00
4.258000000000000114e+02,8.585815429687500000e+01,3.242500000000000160e+00
4.258999999999999773e+02,8.679199218750000000e+01,3.257499999999999840e+00
4.260000000000000000e+02,8.629760742187500000e+01,3.274999999999999911e+00
4.261000000000000227e+02,8.682861328125000000e+01,3.290000000000000036e+00
4.261999999999999886e+02,8.671875000000000000e+01,3.277499999999999858e+00
4.263000000000000114e+02,8.840332031250000000e+01,3.265000000000000124e+00
4.263999999999999773e+02,8.871459960937500000e+01,3.262500000000000178e+00
4.265000000000000000e+02,8.820190429687500000e+01,3.299999999999999822e+00
4.266000000000000227e+02,8.873291015625000000e+01,3.292499999999999982e+00
4.266999999999999886e+02,8.997802734375000000e+01,3.302500000000000213e+00
4.268000000000000114e+02,9.027099609375000000e+01,3.319999999999999840e+00
