time,temperature,ch1,ch3,ch5
5.000000000000000000e-01,3.581542968750000000e+01,5.812499999999998224e-02,1.544999999999999929e+01,-4.976562500000092371e-02
5.999999999999999778e-01,3.581542968750000000e+01,2.562499999999978684e-02,1.543250000000000099e+01,-2.187500000000675016e-03
6.999999999999999556e-01,3.568725585937500000e+01,2.562499999999978684e-02,1.558999999999999986e+01,-5.468750000000088818e-02
8.000000000000000444e-01,3.583374023437500000e+01,2.312499999999984013e-02,1.544249999999999901e+01,5.468749999995026201e-04
9.000000000000000222e-01,3.561401367187500000e+01,3.002499999999999947e+00,1.511250000000000071e+01,1.684046874999999943e+01
1.000000000000000000e+00,3.583374023437500000e+01,2.747500000000000053e+00,1.571750000000000114e+01,1.552085937500000057e+01
1.100000000000000089e+00,3.579711914062500000e+01,2.750000000000000000e+00,1.509250000000000114e+01,1.555804687500000050e+01
1.199999999999999956e+00,3.570556640625000000e+01,2.790000000000000036e+00,1.552250000000000085e+01,1.554875000000000007e+01
1.300000000000000044e+00,3.585205078125000000e+01,2.757499999999999840e+00,1.555250000000000199e+01,1.548148437500000085e+01
1.399999999999999911e+00,3.632812500000000000e+01,2.827500000000000124e+00,1.537500000000000000e+01,1.555367187500000092e+01
1.500000000000000000e+00,3.691406250000000000e+01,2.745000000000000107e+00,1.539250000000000185e+01,1.551921875000000028e+01
1.600000000000000089e+00,3.689575195312500000e+01,2.827500000000000124e+00,1.535249999999999915e+01,1.548804687500000021e+01
1.699999999999999956e+00,3.680419921875000000e+01,2.827500000000000124e+00,1.552250000000000085e+01,1.549351562500000057e+01
1.800000000000000044e+00,3.702392578125000000e+01,2.812500000000000000e+00,1.528999999999999915e+01,1.556460937500000163e+01
1.899999999999999911e+00,3.925781250000000000e+01,2.750000000000000000e+00,1.516750000000000043e+01,1.552140625000000007e+01
2.000000000000000000e+00,3.962402343750000000e+01,2.832500000000000018e+00,1.538250000000000028e+01,1.550117187500000071e+01
2.100000000000000089e+00,3.962402343750000000e+01,2.859999999999999876e+00,1.553249999999999886e+01,1.555695312500000149e+01
2.200000000000000178e+00,3.951416015625000000e+01,2.857499999999999929e+00,1.530750000000000099e+01,1.554000000000000092e+01
2.299999999999999822e+00,4.284667968750000000e+01,2.842499999999999805e+00,1.520250000000000057e+01,1.550281250000000099e+01
2.399999999999999911e+00,4.321289062500000000e+01,2.827500000000000124e+00,1.514000000000000057e+01,1.547984375000000057e+01
2.500000000000000000e+00,4.352416992187500000e+01,2.884999999999999787e+00,1.530250000000000199e+01,1.550609375000000156e+01
2.600000000000000089e+00,4.346923828125000000e+01,2.867500000000000160e+00,1.519500000000000028e+01,1.546289062500000000e+01
2.700000000000000178e+00,4.517211914062500000e+01,2.877499999999999947e+00,1.525750000000000028e+01,1.553726562500000163e+01
2.799999999999999822e+00,4.824829101562500000e+01,2.867500000000000160e+00,1.551249999999999929e+01,1.554109374999999993e+01
2.899999999999999911e+00,4.804687500000000000e+01,2.870000000000000107e+00,1.544249999999999901e+01,1.549351562500000057e+01
3.000000000000000000e+00,4.837646484375000000e+01,2.884999999999999787e+00,1.534250000000000114e+01,1.549296875000000107e+01
3.100000000000000089e+00,4.828491210937500000e+01,2.919999999999999929e+00,1.539999999999999858e+01,1.551867187500000078e+01
3.200000000000000178e+00,5.233154296875000000e+01,2.895000000000000018e+00,1.551750000000000185e+01,1.548968750000000050e+01
3.299999999999999822e+00,5.288085937500000000e+01,2.910000000000000142e+00,1.546999999999999886e+01,1.549843750000000142e+01
3.399999999999999911e+00,5.249633789062500000e+01,2.907500000000000195e+00,1.517750000000000199e+01,1.553289062500000028e+01
3.500000000000000000e+00,5.286254882812500000e+01,2.917499999999999982e+00,1.556250000000000000e+01,1.544921875000000000e+01
3.600000000000000089e+00,5.540771484375000000e+01,2.927500000000000213e+00,1.535000000000000142e+01,1.553398437500000107e+01
3.700000000000000178e+00,5.637817382812500000e+01,2.955000000000000071e+00,1.545250000000000057e+01,1.552687500000000043e+01
3.799999999999999822e+00,5.663452148437500000e+01,2.952500000000000124e+00,1.540249999999999986e+01,1.552414062500000114e+01
3.899999999999999911e+00,5.623168945312500000e+01,2.964999999999999858e+00,1.524749999999999872e+01,1.555914062500000128e+01
4.000000000000000000e+00,5.689086914062500000e+01,2.939999999999999947e+00,1.538749999999999929e+01,1.548093750000000135e+01
4.099999999999999645e+00,5.943603515625000000e+01,2.975000000000000089e+00,1.556250000000000000e+01,1.550773437500000007e+01
4.200000000000000178e+00,5.950927734375000000e+01,2.995000000000000107e+00,1.528999999999999915e+01,1.553234375000000078e+01
4.299999999999999822e+00,5.971069335937500000e+01,2.942499999999999893e+00,1.531500000000000128e+01,1.544101562500000036e+01
4.400000000000000355e+00,5.932617187500000000e+01,2.982499999999999929e+00,1.546999999999999886e+01,1.543937500000000007e+01
4.500000000000000000e+00,6.210937500000000000e+01,2.979999999999999982e+00,1.547250000000000014e+01,1.553453125000000057e+01
4.599999999999999645e+00,6.236572265625000000e+01,2.959999999999999964e+00,1.557250000000000156e+01,1.544265625000000064e+01
4.700000000000000178e+00,6.232910156250000000e+01,2.972500000000000142e+00,1.525000000000000000e+01,1.550445312500000128e+01
4.799999999999999822e+00,6.253051757812500000e+01,3.002499999999999947e+00,1.541250000000000142e+01,1.549187500000000028e+01
4.900000000000000355e+00,6.326293945312500000e+01,2.997500000000000053e+00,1.528750000000000142e+01,1.550718750000000057e+01
5.000000000000000000e+00,6.498413085937500000e+01,3.002499999999999947e+00,1.529500000000000171e+01,1.545632812500000064e+01
5.099999999999999645e+00,6.489257812500000000e+01,2.972500000000000142e+00,1.536500000000000199e+01,1.552687500000000043e+01
5.200000000000000178e+00,6.487426757812500000e+01,3.007499999999999840e+00,1.537249999999999872e+01,1.550062500000000121e+01
5.299999999999999822e+00,6.503906250000000000e+01,3.029999999999999805e+00,1.549249999999999972e+01,1.543773437500000156e+01
5.400000000000000355e+00,6.670532226562500000e+01,3.009999999999999787e+00,1.535249999999999915e+01,1.553945312500000142e+01
5.500000000000000000e+00,6.738281250000000000e+01,2.979999999999999982e+00,1.526999999999999957e+01,1.545742187500000142e+01
5.599999999999999645e+00,6.718139648437500000e+01,3.020000000000000018e+00,1.537249999999999872e+01,1.550445312500000128e+01
5.700000000000000178e+00,6.719970703125000000e+01,3.017500000000000071e+00,1.530750000000000099e+01,1.556625000000000014e+01
5.799999999999999822e+00,6.895751953125000000e+01,3.012500000000000178e+00,1.550000000000000000e+01,1.548203125000000036e+01
5.900000000000000355e+00,6.901245117187500000e+01,3.035000000000000142e+00,1.530250000000000199e+01,1.550007812499999993e+01
6.000000000000000000e+00,6.947021484375000000e+01,3.027499999999999858e+00,1.537249999999999872e+01,1.550554687500000028e+01
6.099999999999999645e+00,6.928710937500000000e+01,2.997500000000000053e+00,1.542999999999999972e+01,1.554437500000000050e+01
6.200000000000000178e+00,6.967163085937500000e+01,2.990000000000000213e+00,1.528500000000000014e+01,1.550828125000000135e+01
6.299999999999999822e+00,7.141113281250000000e+01,3.002499999999999947e+00,1.526999999999999957e+01,1.551539062500000021e+01
6.400000000000000355e+00,7.098999023437500000e+01,3.029999999999999805e+00,1.533749999999999858e+01,1.551429687500000121e+01
6.500000000000000000e+00,7.146606445312500000e+01,3.032500000000000195e+00,1.521249999999999858e+01,1.554109374999999993e+01
6.599999999999999645e+00,7.126464843750000000e+01,3.024999999999999911e+00,1.544249999999999901e+01,1.549296875000000107e+01
6.700000000000000178e+00,7.296752929687500000e+01,3.037500000000000089e+00,1.530750000000000099e+01,1.547273437499999993e+01
6.799999999999999822e+00,7.337036132812500000e+01,3.040000000000000036e+00,1.546249999999999858e+01,1.549242187500000156e+01
6.900000000000000355e+00,7.291259765625000000e+01,3.022499999999999964e+00,1.525750000000000028e+01,1.554109374999999993e+01
7.000000000000000000e+00,7.337036132812500000e+01,3.042499999999999982e+00,1.565749999999999886e+01,1.552414062500000114e+01
7.099999999999999645e+00,7.423095703125000000e+01,3.047499999999999876e+00,1.546249999999999858e+01,1.551593750000000149e+01
7.200000000000000178e+00,7.498168945312500000e+01,3.077500000000000124e+00,1.534250000000000114e+01,1.552250000000000085e+01
7.299999999999999822e+00,7.518310546875000000e+01,3.052500000000000213e+00,1.532000000000000028e+01,1.551593750000000149e+01
7.400000000000000355e+00,7.470703125000000000e+01,3.044999999999999929e+00,1.518750000000000000e+01,1.546453125000000028e+01
7.500000000000000000e+00,7.520141601562500000e+01,3.075000000000000178e+00,1.521999999999999886e+01,1.548257812500000163e+01
7.599999999999999645e+00,7.662963867187500000e+01,3.072499999999999787e+00,1.541250000000000142e+01,1.553289062500000028e+01
7.700000000000000178e+00,7.677612304687500000e+01,3.075000000000000178e+00,1.532250000000000156e+01,1.546945312500000114e+01
7.799999999999999822e+00,7.697753906250000000e+01,3.089999999999999858e+00,1.537000000000000099e+01,1.547546875000000099e+01
7.900000000000000355e+00,7.651977539062500000e+01,3.077500000000000124e+00,1.551249999999999929e+01,1.550664062500000107e+01
8.000000000000000000e+00,7.835083007812500000e+01,3.060000000000000053e+00,1.554250000000000043e+01,1.552906250000000021e+01
8.099999999999999645e+00,7.847900390625000000e+01,3.084999999999999964e+00,1.523750000000000071e+01,1.551210937500000142e+01
8.199999999999999289e+00,7.849731445312500000e+01,3.107499999999999929e+00,1.532250000000000156e+01,1.553726562500000163e+01
8.300000000000000711e+00,7.869873046875000000e+01,3.080000000000000071e+00,1.545500000000000185e+01,1.550828125000000135e+01
8.400000000000000355e+00,7.884521484375000000e+01,3.112499999999999822e+00,1.517500000000000071e+01,1.546726562500000135e+01
8.500000000000000000e+00,8.025512695312500000e+01,3.067499999999999893e+00,1.510750000000000171e+01,1.552031250000000107e+01
8.599999999999999645e+00,8.005371093750000000e+01,3.102500000000000036e+00,1.549249999999999972e+01,1.555695312500000149e+01
8.699999999999999289e+00,8.010864257812500000e+01,3.095000000000000195e+00,1.533249999999999957e+01,1.551976562500000156e+01
8.800000000000000711e+00,8.031005859375000000e+01,3.125000000000000000e+00,1.522749999999999915e+01,1.550718750000000057e+01
8.900000000000000355e+00,8.128051757812500000e+01,3.109999999999999876e+00,1.524749999999999872e+01,1.548968750000000050e+01
9.000000000000000000e+00,8.190307617187500000e+01,3.117500000000000160e+00,1.527749999999999986e+01,1.552414062500000114e+01
9.099999999999999645e+00,8.164672851562500000e+01,3.115000000000000213e+00,1.560249999999999915e+01,1.550281250000000099e+01
9.199999999999999289e+00,8.173828125000000000e+01,3.127499999999999947e+00,1.522749999999999915e+01,1.544812500000000099e+01
9.300000000000000711e+00,8.296508789062500000e+01,3.125000000000000000e+00,1.543250000000000099e+01,1.550882812500000085e+01
9.400000000000000355e+00,8.296508789062500000e+01,3.122500000000000053e+00,1.530499999999999972e+01,1.553617187500000085e+01
9.500000000000000000e+00,8.353271484375000000e+01,3.147499999999999964e+00,1.541000000000000014e+01,1.546726562500000135e+01
9.599999999999999645e+00,8.325805664062500000e+01,3.147499999999999964e+00,1.539250000000000185e+01,1.550445312500000128e+01
9.699999999999999289e+00,8.349609375000000000e+01,3.174999999999999822e+00,1.524749999999999872e+01,1.551046875000000114e+01
9.800000000000000711e+00,8.505249023437500000e+01,3.147499999999999964e+00,1.533749999999999858e+01,1.550335937500000050e+01
9.900000000000000355e+00,8.459472656250000000e+01,3.157500000000000195e+00,1.508000000000000185e+01,1.552960937500000149e+01
1.000000000000000000e+01,8.514404296875000000e+01,3.169999999999999929e+00,1.529250000000000043e+01,1.547437500000000021e+01
1.009999999999999964e+01,8.485107421875000000e+01,3.145000000000000018e+00,1.535500000000000043e+01,1.552632812500000092e+01
1.019999999999999929e+01,8.616943359375000000e+01,3.052500000000000213e+00,1.513250000000000028e+01,1.547164062500000092e+01
1.030000000000000071e+01,8.662719726562500000e+01,3.127499999999999947e+00,1.538749999999999929e+01,1.548476562500000142e+01
1.040000000000000036e+01,8.613281250000000000e+01,3.167499999999999982e+00,1.521499999999999986e+01,1.548148437500000085e+01
1.050000000000000000e+01,8.662719726562500000e+01,3.174999999999999822e+00,1.515249999999999986e+01,1.549898437500000092e+01
1.059999999999999964e+01,8.703002929687500000e+01,3.185000000000000053e+00,1.530000000000000071e+01,1.549078125000000128e+01
1.069999999999999929e+01,8.790893554687500000e+01,3.169999999999999929e+00,1.538250000000000028e+01,1.555203125000000064e+01
1.080000000000000071e+01,8.811035156250000000e+01,3.187500000000000000e+00,1.552250000000000085e+01,1.552414062500000114e+01
1.090000000000000036e+01,8.761596679687500000e+01,3.167499999999999982e+00,1.530750000000000099e+01,1.553835937500000064e+01
1.100000000000000000e+01,8.814697265625000000e+01,3.194999999999999840e+00,1.526750000000000185e+01,1.550773437500000007e+01
1.109999999999999964e+01,8.913574218750000000e+01,3.202500000000000124e+00,1.539000000000000057e+01,1.552468750000000064e+01
1.119999999999999929e+01,8.933715820312500000e+01,3.212499999999999911e+00,1.535999999999999943e+01,1.550062500000000121e+01
1.130000000000000071e+01,8.953857421875000000e+01,3.185000000000000053e+00,1.528249999999999886e+01,1.547656250000000000e+01
1.140000000000000036e+01,8.900756835937500000e+01,3.192499999999999893e+00,1.528750000000000142e+01,1.550390625000000000e+01
1.150000000000000000e+01,9.067382812500000000e+01,3.192499999999999893e+00,1.546249999999999858e+01,1.548859375000000149e+01
1.159999999999999964e+01,9.071044921875000000e+01,3.165000000000000036e+00,1.522500000000000142e+01,1.552632812500000092e+01
1.169999999999999929e+01,9.080200195312500000e+01,3.207500000000000018e+00,1.549749999999999872e+01,1.551812500000000128e+01
1.180000000000000071e+01,9.102172851562500000e+01,3.212499999999999911e+00,1.530999999999999872e+01,1.547164062500000092e+01
1.190000000000000036e+01,9.093017578125000000e+01,3.217499999999999805e+00,1.527749999999999986e+01,1.552195312500000135e+01
1.200000000000000000e+01,9.244995117187500000e+01,3.209999999999999964e+00,1.525750000000000028e+01,1.554437500000000050e+01
1.209999999999999964e+01,9.213867187500000000e+01,3.217499999999999805e+00,1.533249999999999957e+01,1.552304687500000036e+01
1.219999999999999929e+01,9.223022460937500000e+01,3.217499999999999805e+00,1.539999999999999858e+01,1.551539062500000021e+01
1.230000000000000071e+01,9.246826171875000000e+01,3.247500000000000053e+00,1.520250000000000057e+01,1.544812500000000099e+01
1.240000000000000036e+01,9.325561523437500000e+01,3.234999999999999876e+00,1.541250000000000142e+01,1.551429687500000121e+01
1.250000000000000000e+01,9.398803710937500000e+01,3.217499999999999805e+00,1.521499999999999986e+01,1.548367187500000064e+01
1.259999999999999964e+01,9.358520507812500000e+01,3.227500000000000036e+00,1.546249999999999858e+01,1.551374999999999993e+01
1.269999999999999929e+01,9.376831054687500000e+01,3.265000000000000124e+00,1.541250000000000142e+01,1.551593750000000149e+01
1.280000000000000071e+01,9.479370117187500000e+01,3.242500000000000160e+00,1.530000000000000071e+01,1.550773437500000007e+01
1.290000000000000036e+01,9.479370117187500000e+01,3.242500000000000160e+00,1.540749999999999886e+01,1.543664062500000078e+01
