time,temperature,ch1,ch3,ch5
1.674700000000000045e+03,5.736694335937500000e+01,4.812499999999975131e-02,1.528500000000000014e+01,-1.203125000000060396e-02
1.674799999999999955e+03,5.740356445312500000e+01,8.875000000000010658e-02,1.546750000000000114e+01,-4.375000000000106581e-02
1.674900000000000091e+03,5.745849609375000000e+01,3.812499999999996447e-02,1.535999999999999943e+01,-5.031250000000042633e-02
1.675000000000000000e+03,5.765991210937500000e+01,3.015000000000000124e+00,1.533500000000000085e+01,1.621648437500000028e+01
1.675099999999999909e+03,5.727539062500000000e+01,2.904999999999999805e+00,1.526500000000000057e+01,1.552468750000000064e+01
1.675200000000000045e+03,5.764160156250000000e+01,2.939999999999999947e+00,1.520500000000000185e+01,1.550992187500000163e+01
1.675299999999999955e+03,5.950927734375000000e+01,2.935000000000000053e+00,1.526249999999999929e+01,1.552851562500000071e+01
1.675400000000000091e+03,5.958251953125000000e+01,2.937500000000000000e+00,1.549749999999999872e+01,1.555531250000000121e+01
1.675500000000000000e+03,5.976562500000000000e+01,2.932500000000000107e+00,1.527250000000000085e+01,1.550445312500000128e+01
1.675599999999999909e+03,5.934448242187500000e+01,2.944999999999999840e+00,1.515749999999999886e+01,1.547164062500000092e+01
1.675700000000000045e+03,6.251220703125000000e+01,3.012500000000000178e+00,1.539000000000000057e+01,1.548093750000000135e+01
1.675799999999999955e+03,6.309814453125000000e+01,3.012500000000000178e+00,1.551249999999999929e+01,1.549515625000000085e+01
1.675900000000000091e+03,6.307983398437500000e+01,2.992500000000000160e+00,1.557250000000000156e+01,1.548421875000000014e+01
1.676000000000000000e+03,6.328125000000000000e+01,3.012500000000000178e+00,1.539000000000000057e+01,1.548476562500000142e+01
1.676099999999999909e+03,6.419677734375000000e+01,3.042499999999999982e+00,1.535000000000000142e+01,1.554054687500000043e+01
1.676200000000000045e+03,6.774902343750000000e+01,3.017500000000000071e+00,1.528249999999999886e+01,1.554109374999999993e+01
1.676299999999999955e+03,6.769409179687500000e+01,3.080000000000000071e+00,1.534499999999999886e+01,1.545906249999999993e+01
1.676400000000000091e+03,6.771240234375000000e+01,3.047499999999999876e+00,1.530000000000000071e+01,1.552140625000000007e+01
1.676500000000000000e+03,6.789550781250000000e+01,3.064999999999999947e+00,1.521499999999999986e+01,1.548367187500000064e+01
1.676599999999999909e+03,7.219848632812500000e+01,3.064999999999999947e+00,1.546000000000000085e+01,1.546453125000000028e+01
